code,company,beta,매출액(조원)2024/12,매출액(조원)2025/12,매출액(조원)2026/12,매출액(조원)2027/12,eps2024/12,eps2025/12,eps2026/12,eps2027/12,bps2024/12,bps2025/12,bps2026/12,bps2027/12,dps2024/12,dps2025/12,dps2026/12,dps2027/12,적정주가Max,적정주가Consensus,적정주가Min
006800,미래에셋증권,1.8,0,0,0,0,423.69,1228.64,2218.0,3043.0,15136.81,16893.77,0.0,21839.0,150.0,250.0,300.0,703.0,75000.0,56643.0,32000.0
005380,현대차,1.8,162.66,175.23,186.25,193.8,43589.08,46041.79,35593.0,42117.0,341738.73,405094.0,0.0,470830.0,11400.0,12000.0,2500.0,11485.0,900000.0,673462.0,430000.0
039030,이오테크닉스,1.8,0.32,0.32,0.38,0.48,2972.91,3477.7,5244.0,8150.0,46382.8,49744.49,54309.0,61460.0,450.0,500.0,800.0,1000.0,480000.0,480000.0,480000.0
071050,한국금융지주,1.8,0,0,0,0,11479.75,16883.18,32871.0,33408.0,136784.95,157522.45,0.0,213601.0,2650.0,3980.0,8690.0,8925.0,399000.0,300125.0,200000.0
039490,키움증권,1.8,0,0,0,0,15020.89,29303.95,40798.0,50807.0,172846.76,203328.76,0.0,286024.0,3000.0,7500.0,11500.0,13548.0,620000.0,509000.0,350000.0
006260,LS,1.8,24.48,27.54,31.82,36.61,13539.25,7370.62,8630.0,15179.0,151294.91,145911.46,0.0,173404.0,1600.0,1650.0,2500.0,2316.0,360000.0,294688.0,250000.0
001440,대한전선,1.8,2.84,3.29,3.64,4.0,512.81,399.74,464.0,533.0,6838.17,7909.59,0.0,9393.0,0.0,0.0,0.0,0.0,39000.0,35800.0,32000.0
068270,셀트리온,1.8,2.18,3.56,4.16,5.24,3347.31,1788.61,4456.0,6105.0,80102.87,82821.03,0.0,91943.0,458.72,688.07,750.0,719.0,320000.0,266842.0,240000.0
082740,한화엔진,1.8,0.85,1.2,1.37,1.59,-5.96,970.56,2082.0,2048.0,3135.13,4714.92,0.0,8526.0,0.0,0.0,0.0,0.0,75000.0,67833.0,59000.0
079550,LIG넥스원,1.8,2.31,3.28,4.31,4.97,7952.82,10077.8,11600.0,16781.0,48075.91,55272.4,0.0,78143.0,1950.0,2400.0,2950.0,3616.0,740000.0,668182.0,540000.0
207940,삼성바이오로직스,1.8,3.5,4.56,5.37,6.25,15220.67,26571.91,38723.0,44696.0,153211.51,223776.04,370460.0,415091.0,0.0,0.0,0.0,0.0,2300000.0,2198125.0,2050000.0
226950,올릭스,1.8,0.02,0.01,0.01,0.01,-1138.75,-2217.71,-732.0,-1398.0,2951.11,966.92,0.0,2977.0,0.0,0.0,0.0,0.0,0,0,0
307950,현대오토에버,1.8,3.06,3.71,4.25,4.77,5023.5,6227.71,6654.0,8359.0,57614.95,62190.7,0.0,73861.0,1430.0,1780.0,1900.0,1916.0,700000.0,531111.0,390000.0
347850,디앤디파마텍,1.8,0.02,0.01,0.0,0.02,109.6,-705.78,-551.0,-873.0,1254.17,1658.58,0.0,3239.0,0.0,0.0,0.0,0.0,0,0,0
108490,로보티즈,1.8,0.03,0.03,0.04,0.06,-102.59,-234.01,367.0,594.0,7434.24,7448.38,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
454910,두산로보틱스,1.8,0.05,0.05,0.03,0.0,-300.18,-564.04,-856.0,0.0,6769.64,6209.52,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
298380,에이비엘바이오,1.8,0.07,0.03,0.08,0.09,-55.32,-1094.12,-678.0,-459.0,1546.78,3094.33,0.0,3397.0,0.0,0.0,0.0,0.0,280000.0,251667.0,230000.0
