code,company,beta,매출액(조원)2024/12,매출액(조원)2025/12,매출액(조원)2026/12,매출액(조원)2027/12,eps2024/12,eps2025/12,eps2026/12,eps2027/12,bps2024/12,bps2025/12,bps2026/12,bps2027/12,dps2024/12,dps2025/12,dps2026/12,dps2027/12,적정주가Max,적정주가Consensus,적정주가Min
298040,효성중공업,1.8,4.3,4.89,5.97,6.96,12438.37,23876.04,55755.0,83530.0,115932.97,204752.96,0.0,329109.0,2500.0,5000.0,7500.0,9666.0,4000000.0,3334615.0,2900000.0
277810,레인보우로보틱스,1.8,0.02,0.02,0.03,0.0,-46.25,110.07,73.0,0.0,6734.9,6842.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
042700,한미반도체,1.8,0.16,0.56,0.58,0.81,2744.7,1572.65,2250.0,4160.0,6183.21,7143.46,0.0,12777.0,420.0,720.0,800.0,720.0,240000.0,235000.0,230000.0
278470,에이피알,1.8,0.52,0.72,1.53,2.29,2248.92,2842.49,7758.0,12143.0,5414.12,10057.94,0.0,24215.0,0.0,0.0,1500.0,3857.0,450000.0,374667.0,320000.0
010120,LS ELECTRIC,1.8,4.23,4.55,4.96,6.0,6865.39,7957.19,9404.0,15113.0,57904.6,61668.71,0.0,79927.0,2800.0,2900.0,3000.0,3250.0,970000.0,721722.0,608000.0
012450,한화에어로스페이스,1.8,7.89,11.24,26.61,30.54,15885.78,46182.88,26918.0,45694.0,68605.47,108270.05,0.0,232378.0,1764.71,3431.37,7000.0,4577.0,1800000.0,1557353.0,1345000.0
009540,HD한국조선해양,1.8,21.3,25.54,29.93,32.99,3132.7,16564.71,30639.0,49052.0,140084.58,156979.93,0.0,221904.0,0.0,5100.0,9100.0,15443.0,620000.0,567222.0,510000.0
449450,Unknown,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329180,HD현대중공업,1.8,11.96,14.49,17.58,23.84,278.08,7001.1,13486.0,25772.0,58660.1,64258.73,0.0,104051.0,0.0,2090.0,3990.0,7373.0,910000.0,807222.0,720000.0
034020,두산에너빌리티,1.8,17.59,16.23,17.06,17.6,86.8,173.86,320.0,607.0,11114.48,11706.45,0.0,12681.0,0.0,0.0,0.0,0.0,165000.0,126500.0,111000.0
042660,한화오션,1.8,7.41,10.78,12.78,13.81,794.92,1723.71,4066.0,4439.0,14062.52,15858.97,0.0,24053.0,0.0,0.0,0.0,150.0,180000.0,169579.0,154000.0
267260,HD현대일렉트릭,1.8,2.7,3.32,4.08,4.74,7189.27,13914.2,20323.0,27201.0,29499.79,42084.55,0.0,77277.0,1000.0,5350.0,5200.0,7464.0,1270000.0,1124000.0,1000000.0
035720,카카오,1.8,7.56,7.87,8.1,8.75,-2276.48,124.49,1132.0,1527.0,21950.67,22860.49,0.0,26183.0,61.0,68.0,75.0,75.0,110000.0,80222.0,70000.0
035420,NAVER,1.8,9.67,10.74,12.04,13.43,6180.16,11912.87,12484.0,14250.0,148136.68,166220.85,0.0,192624.0,1205.0,1130.0,2630.0,1731.0,410000.0,348667.0,270000.0
122870,와이지엔터테인먼트,1.8,0.57,0.36,0.55,0.58,3285.06,990.82,2875.0,3547.0,25261.69,26137.95,0.0,31394.0,300.0,250.0,300.0,280.0,105000.0,96000.0,85000.0
