code,company,beta,매출액(조원)2024/12,매출액(조원)2025/12,매출액(조원)2026/12,매출액(조원)2027/12,eps2024/12,eps2025/12,eps2026/12,eps2027/12,bps2024/12,bps2025/12,bps2026/12,bps2027/12,dps2024/12,dps2025/12,dps2026/12,dps2027/12,적정주가Max,적정주가Consensus,적정주가Min
005930,삼성전자,1.8,300.87,333.61,683.77,829.46,4949.65,6563.57,42998.0,55468.0,57930.01,63976.31,105302.0,157128.0,1446.0,1668.0,5168.0,3982.0,570000.0,415200.0,250000.0
000660,SK하이닉스,1.8,66.19,97.15,336.93,470.91,27182.17,58954.87,298345.0,403096.0,104566.52,167604.03,469345.0,868468.0,2204.0,3000.0,6893.0,12008.0,3800000.0,2615600.0,1400000.0
298040,효성중공업,1.8,4.89,5.97,7.11,8.39,23876.04,55755.38,84548.0,123893.0,204752.95,252284.7,329158.0,442230.0,5000.0,7500.0,10038.0,13069.0,5000000.0,4615385.0,4200000.0
277810,레인보우로보틱스,1.8,0.02,0.03,0.06,0.13,110.07,73.27,773.0,1598.0,6842.9,6898.54,7629.0,9278.0,0.0,0.0,0.0,0.0,915000.0,915000.0,915000.0
042700,한미반도체,1.8,0.56,0.58,0.79,1.1,1572.65,2232.96,3539.0,5496.0,7143.46,7523.78,10073.0,14861.0,720.0,800.0,720.0,720.0,380000.0,380000.0,380000.0
278470,에이피알,1.8,0.72,1.53,2.69,3.54,2842.49,7704.49,14224.0,18975.0,10057.94,11910.02,21767.0,35470.0,0.0,5090.0,5066.0,6156.0,610000.0,508421.0,360000.0
010120,LS ELECTRIC,1.8,4.55,4.97,6.16,7.27,1591.44,1910.82,3373.0,4482.0,12333.74,13864.42,16552.0,19790.0,580.0,600.0,1164.0,1400.0,350000.0,256923.0,200000.0
012450,한화에어로스페이스,1.8,11.24,26.7,30.04,34.35,46182.88,28566.01,41622.0,53716.0,108270.05,188232.86,224475.0,269417.0,3431.37,7000.0,8150.0,9632.0,2040000.0,1831667.0,1600000.0
009540,HD한국조선해양,1.8,25.54,29.93,33.98,37.15,16564.71,30638.93,48819.0,59808.0,156979.93,187876.56,223862.0,267155.0,5100.0,12300.0,16750.0,20265.0,700000.0,592857.0,530000.0
449450,Unknown,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329180,HD현대중공업,1.8,14.49,17.58,24.84,26.53,7001.1,15701.79,28852.0,33606.0,64258.73,89148.32,115132.0,139969.0,2090.0,5661.0,8833.0,10410.0,1170000.0,916600.0,750000.0
034020,두산에너빌리티,1.8,16.23,17.06,18.12,20.11,173.86,132.32,458.0,820.0,11706.45,12157.9,12721.0,13709.0,0.0,0.0,0.0,0.0,165000.0,151313.0,135000.0
042660,한화오션,1.8,10.78,12.78,13.63,15.4,1723.71,4065.87,5024.0,6137.0,15858.97,20139.39,25070.0,31137.0,0.0,0.0,500.0,850.0,180000.0,170316.0,155000.0
267260,HD현대일렉트릭,1.8,3.32,4.08,4.7,5.48,13914.2,20323.54,27279.0,33507.0,42084.55,56703.88,76295.0,100806.0,5350.0,7100.0,8700.0,10001.0,1630000.0,1468571.0,1100000.0
035720,카카오,1.8,7.86,8.1,8.36,9.03,124.49,1110.27,1566.0,1882.0,22860.49,25485.59,27017.0,29031.0,68.0,75.0,79.0,82.0,110000.0,72053.0,58000.0
035420,NAVER,1.8,10.74,12.04,13.69,15.11,11912.87,12376.17,12505.0,14870.0,166220.85,180116.6,192325.0,205720.0,1130.0,2630.0,2500.0,2624.0,350000.0,301381.0,240000.0
122870,와이지엔터테인먼트,1.8,0.36,0.55,0.6,0.56,990.82,1974.2,3058.0,3119.0,26137.95,27764.76,30359.0,32946.0,250.0,300.0,316.0,319.0,87000.0,76778.0,65000.0
006800,미래에셋증권,1.8,0,0,0,0,1221.33,2153.92,4099.0,2866.0,16793.6,18832.56,22525.0,24794.0,247.52,297.03,597.0,648.0,110000.0,78688.0,62000.0
005380,현대차,1.8,175.23,186.25,194.29,202.27,46041.79,35330.77,39653.0,43491.0,405094.0,436418.31,468215.0,501082.0,12000.0,10000.0,11872.0,12478.0,1200000.0,775385.0,600000.0
039030,이오테크닉스,1.8,0.32,0.38,0.49,0.61,3477.7,4644.12,9614.0,12423.0,49744.49,55838.01,62220.0,73042.0,500.0,1200.0,1040.0,1120.0,600000.0,549400.0,485000.0
071050,한국금융지주,1.8,0,0,0,0,16883.18,32807.66,43853.0,41181.0,157522.45,195836.08,226106.0,250963.0,3980.0,8690.0,10888.0,11253.0,410000.0,345875.0,300000.0
039490,키움증권,1.8,0,0,0,0,29303.95,40503.67,59876.0,57437.0,203328.76,249475.01,299873.0,341975.0,7500.0,11500.0,16125.0,16819.0,700000.0,566706.0,480000.0
006260,LS,1.8,27.54,31.87,38.52,40.97,7370.62,8458.26,17646.0,21557.0,145911.46,160840.6,178445.0,198161.0,1650.0,2500.0,2653.0,2810.0,700000.0,580000.0,350000.0
001440,대한전선,1.8,3.29,3.64,4.12,4.51,400.6,451.71,518.0,731.0,7926.04,8612.92,8788.0,9987.0,0.0,0.0,0.0,0.0,68000.0,53667.0,36000.0
068270,셀트리온,1.8,3.56,4.16,5.3,6.11,1788.61,4446.8,6240.0,7246.0,82821.03,83971.72,88170.0,94356.0,688.07,750.0,754.0,759.0,320000.0,274737.0,250000.0
082740,한화엔진,1.8,1.2,1.37,1.57,2.01,970.56,2082.2,2414.0,3515.0,4714.92,6665.94,9073.0,12577.0,0.0,0.0,0.0,0.0,112000.0,92556.0,53000.0
079550,LIG디펜스앤에어로스페이스,1.8,3.28,4.31,5.13,6.09,9974.3,11516.17,16563.0,22997.0,55211.08,65186.21,78593.0,98084.0,2400.0,2950.0,3612.0,4486.0,1300000.0,1140000.0,950000.0
207940,삼성바이오로직스,1.8,3.5,4.56,5.43,6.29,15220.67,26571.91,42462.0,48518.0,153211.51,223776.04,293836.0,330188.0,0.0,0.0,0.0,0.0,2300000.0,2083500.0,1800000.0
226950,올릭스,1.8,0.01,0.01,0.0,0.0,-2217.71,-759.03,0.0,0.0,966.92,6738.14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
307950,현대오토에버,1.8,3.71,4.25,4.76,5.51,6227.71,6654.18,7555.0,10119.0,62190.7,67358.13,73133.0,81469.0,1780.0,1900.0,1977.0,2188.0,880000.0,621667.0,450000.0
347850,디앤디파마텍,1.8,0.01,0.0,0.01,0.01,-705.78,-546.32,-663.0,-685.0,1658.58,1825.96,274.0,-411.0,0.0,0.0,0.0,0.0,0,0,0
108490,로보티즈,1.8,0.03,0.04,0.07,0.11,-234.01,369.66,789.0,1509.0,7448.38,21723.73,22304.0,23423.0,0.0,0.0,0.0,0.0,450000.0,381250.0,320000.0
454910,두산로보틱스,1.8,0.05,0.03,0.06,0.13,-564.04,-856.15,108.0,571.0,6209.52,5377.89,5508.0,6094.0,0.0,0.0,0.0,0.0,145000.0,145000.0,145000.0
