code,company,Revenue(B)2024/12,Revenue(B)2025/12,Revenue(B)2026/12,Revenue(B)2027/12,eps2024/12,eps2025/12,eps2026/12,eps2027/12,dps2024/12,dps2025/12,dps2026/12,적정주가Max,적정주가Consensus,적정주가Min,bps2025/12,bps2026/12,beta
NVDA,Nvidia,60.92,130.5,391.66,550.01,1.21,2.97,8.96,12.68,0.034,0.04,1,500,298.42,180,44.7633,25.41,2.2
AAPL,Apple,391.04,416.16,478.08,517.82,6.11,7.49,8.75,9.66,0.99,1.03,1.08,400,310.51,215,51.6725,42.39,1.09
MSFT,Microsoft,245.12,281.72,329.49,384.07,11.86,13.7,16.83,19.35,3.08,3.4,3.64,870,560.95,400,10.455,7.47,1.1
AMZN,Amazon,637.96,716.92,822.84,929.49,5.66,7.29,8.65,9.86,0,0,0,370,312.79,207,7.11,6.43,1.44
GOOGL,Alphabet,350.02,402.84,487.04,577.53,8.13,10.91,14.24,14.43,0.6,0.83,0.88,515,431.19,340,7.4575,9.39,1.24
AVGO,Broadcom,51.57,63.89,105.97,169.72,1.27,4.91,11.61,19.27,2.17,2.42,2.6,650,512.73,215.88,17.9925,22.62,1.43
META,Meta,164.5,200.97,253.11,302.25,24.61,23.98,32.9,34.9,2,2.1,2.1,1015,828.8,700,9.0225,6.54,1.23
TSLA,Tesla,97.69,94.83,102.34,118.23,2.23,1.18,2.05,2.5,0,0,0,600,419.94,123,16.345,18.68,1.8
MU,Micron,25.11,37.38,110.36,176.41,0.7,7.65,58.87,105.95,0.46,0.46,0.6,1750,739.47,249,2.99,13.45,2.17
AMD,AMD,25.79,34.64,49.44,76.18,1.01,2.67,7.37,13.08,0,0,0,665,482.69,225,4.2575,13.23,2.49
ASML,ASML,28.26,32.67,39.05,47.66,19.25,26.29,31.47,41.46,6.713,7.372,8.79,2252.31,1694.95,891.8,16.26,27.98,1.4
INTC,Intel,53.1,52.85,58.66,65.1,-4.38,-0.06,1.09,1.55,0.375,0,0,150,89.32,20.4,1.335,4.47,2.23
CSCO,CISCO,53.8,56.65,62.91,68.51,2.55,2.63,4.28,4.77,1.59,1.63,1.68,150,125.82,84.98,5.68,9.81,1
COST,Costco,254.45,275.24,300.97,325.32,16.59,18.24,20.57,22.65,4.5,5.06,5.88,1315,1082.33,740,15.7867,12.86,0.87
LRCX,Lam Research,14.91,18.44,23.18,30.51,2.91,4.17,5.68,7.94,0.86,0.98,1.04,385,316.19,220,15.42,35.83,1.87
ARM,ARM,3.23,4.01,5.97,7.98,0.3,0.62,2.17,3.06,0,0,0,500,247.41,125,19.93,50.72,3.79
AMAT,Applied Materials,27.18,28.37,33.36,41.83,8.68,8.71,12.26,16.17,1.52,1.78,2.12,575,511.17,358,7.8467,15.04,1.67
NFLX,Netflix,39,45.18,51.4,57.39,2.03,2.58,3.59,3.83,0,0,0,151.4,114.56,80,18.8325,11.12,1.49
PLTR,Palantier,2.87,4.48,7.72,11.17,0.21,0.69,1.46,2.07,0,0,0,255,183.73,70,59.31,40.2,1.51
TXN,Texas Instrument,15.64,17.68,21,23.25,5.26,5.5,7.69,8.94,5.26,5.5,5.68,400,290.33,200,10.2,15.46,1.31
