code,company,beta,Revenue(B)2024/12,Revenue(B)2025/12,Revenue(B)2026/12,Revenue(B)2027/12,eps2024/12,eps2025/12,eps2026/12,eps2027/12,bps2025/12,bps2026/12,dps2024/12,dps2025/12,dps2026/12,적정주가Max,적정주가Consensus,적정주가Min
NVDA,Nvidia,2.2,60.92,130.5,391.66,550.01,1.21,2.97,8.96,12.68,44.7633,25.41,0.034,0.04,1,500,298.42,180
AAPL,Apple,1.09,391.04,416.16,478.08,517.82,6.11,7.49,8.75,9.66,51.6725,42.39,0.99,1.03,1.08,400,310.51,215
MSFT,Microsoft,1.1,245.12,281.72,329.49,384.07,11.86,13.7,16.83,19.35,10.455,7.47,3.08,3.4,3.64,870,560.95,400
AMZN,Amazon,1.44,637.96,716.92,822.84,929.49,5.66,7.29,8.65,9.86,7.11,6.43,0,0,0,370,312.79,207
GOOGL,Alphabet,1.24,350.02,402.84,487.04,577.53,8.13,10.91,14.24,14.43,7.4575,9.39,0.6,0.83,0.88,515,431.19,340
AVGO,Broadcom,1.43,51.57,63.89,105.97,169.72,1.27,4.91,11.61,19.27,17.9925,22.62,2.17,2.42,2.6,650,512.73,215.88
META,Meta,1.23,164.5,200.97,253.11,302.25,24.61,23.98,32.9,34.9,9.0225,6.54,2,2.1,2.1,1015,828.8,700
TSLA,Tesla,1.8,97.69,94.83,102.34,118.23,2.23,1.18,2.05,2.5,16.345,18.68,0,0,0,600,419.94,123
MU,Micron,2.17,25.11,37.38,110.36,176.41,0.7,7.65,58.87,105.95,2.99,13.45,0.46,0.46,0.6,1750,739.47,249
AMD,AMD,2.49,25.79,34.64,49.44,76.18,1.01,2.67,7.37,13.08,4.2575,13.23,0,0,0,665,482.69,225
ASML,ASML,1.4,28.26,32.67,39.05,47.66,19.25,26.29,31.47,41.46,16.26,27.98,6.713,7.372,8.79,2252.31,1694.95,891.8
INTC,Intel,2.23,53.1,52.85,58.66,65.1,-4.38,-0.06,1.09,1.55,1.335,4.47,0.375,0,0,150,89.32,20.4
CSCO,CISCO,1,53.8,56.65,62.91,68.51,2.55,2.63,4.28,4.77,5.68,9.81,1.59,1.63,1.68,150,125.82,84.98
COST,Costco,0.87,254.45,275.24,300.97,325.32,16.59,18.24,20.57,22.65,15.7867,12.86,4.5,5.06,5.88,1315,1082.33,740
LRCX,Lam Research,1.87,14.91,18.44,23.18,30.51,2.91,4.17,5.68,7.94,15.42,35.83,0.86,0.98,1.04,385,316.19,220
ARM,ARM,3.79,3.23,4.01,5.97,7.98,0.3,0.62,2.17,3.06,19.93,50.72,0,0,0,500,247.41,125
AMAT,Applied Materials,1.67,27.18,28.37,33.36,41.83,8.68,8.71,12.26,16.17,7.8467,15.04,1.52,1.78,2.12,575,511.17,358
NFLX,Netflix,1.49,39,45.18,51.4,57.39,2.03,2.58,3.59,3.83,18.8325,11.12,0,0,0,151.4,114.56,80
PLTR,Palantier,1.51,2.87,4.48,7.72,11.17,0.21,0.69,1.46,2.07,59.31,40.2,0,0,0,255,183.73,70
TXN,Texas Instrument,1.31,15.64,17.68,21,23.25,5.26,5.5,7.69,8.94,10.2,15.46,5.26,5.5,5.68,400,290.33,200
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
