코드,code,종목명,반도체,빅테크,Fintech,미국,한국,중국,World
AAPL,AAPL,애플,0,1,0,1,0,0,0
AMAT,AMAT,어플라이드 머티어리얼즈,1,0,0,1,0,0,0
AMD,AMD,AMD,1,0,0,1,0,0,0
AMZN,AMZN,아마존닷컴,0,1,0,1,0,0,0
ARKF,ARKF,ARK FINTECH INNOVATION,0,0,1,1,0,0,0
ARKW,ARKW,ARK NEXT GENERATION INTERNET,0,0,1,1,0,0,0
ASML,ASML,ASML 홀딩(ADR),1,0,0,0,0,0,0
AVGO,AVGO,브로드컴,1,0,0,1,0,0,0
BLOK,BLOK,블록체인 엠플리파이 ETF,0,0,1,1,0,0,0
BMNR,BMNR,비트마인 이머션 테크놀로지스,0,0,1,1,0,0,0
BRK.B,BRK.B,버크셔 해서웨이 B,0,0,1,1,0,0,0
COIN,COIN,코인베이스 글로벌,0,0,1,1,0,0,0
COST,COST,코스트코 홀세일,0,0,0,1,0,0,0
CRCL,CRCL,써클 인터넷 그룹,0,0,1,1,0,0,0
CURRENCY:BNBKRW,CURRENCY:BNBKRW,Binance coin,0,0,1,0,0,0,1
CURRENCY:BTCKRW,CURRENCY:BTCKRW,Bitcoin,0,0,1,0,0,0,1
CURRENCY:ETHKRW,CURRENCY:ETHKRW,Ethereum,0,0,1,0,0,0,1
CURRENCY:SOLKRW,CURRENCY:SOLKRW,Solana,0,0,1,0,0,0,1
CURRENCY:TRXKRW,CURRENCY:TRXKRW,tron,0,0,1,0,0,0,1
CURRENCY:XRPKRW,CURRENCY:XRPKRW,XRP,0,0,1,0,0,0,1
EBAY,EBAY,이베이,0,0,0,1,0,0,0
EEM,EEM,MSCI 신흥국 아이셰어즈 ETF,0,0,0,0,0,0,1
GOOGL,GOOGL,알파벳 A,0,1,0,1,0,0,0
HOOD,HOOD,로빈후드,0,0,1,1,0,0,0
IONQ,IONQ,아이온큐,0,0,0,1,0,0,0
ISRG,ISRG,인튜이티브 서지컬,0,0,0,1,0,0,0
ITA,ITA,항공우주 및 방산주 아이셰어즈 ETF,0,0,0,1,0,0,0
KOSDAQ:039030,KOSDAQ:039030,이오테크닉스,1,0,0,0,1,0,0
KOSDAQ:058470,KOSDAQ:058470,리노공업,1,0,0,0,1,0,0
KOSDAQ:108490,KOSDAQ:108490,로보티즈,0,0,0,0,1,0,0
KOSDAQ:122870,KOSDAQ:122870,와이지엔터테인먼트,0,0,0,0,1,0,0
KOSDAQ:226950,KOSDAQ:226950,올릭스,0,0,0,0,1,0,0
KOSDAQ:277810,KOSDAQ:277810,레인보우로보틱스,0,0,0,0,1,0,0
KOSDAQ:298380,KOSDAQ:298380,에이비엘바이오,0,0,0,0,1,0,0
KOSDAQ:347850,KOSDAQ:347850,디앤디파마텍,0,0,0,0,1,0,0
krx:,krx:,삼성 나스닥 100 TR ETN,0,0,0,1,0,0,0
krx:000270,krx:000270,기아,0,0,0,0,1,0,0
krx:000660,krx:000660,SK 하이닉스,1,0,0,0,1,0,0
krx:001440,krx:001440,대한전선,0,0,0,0,1,0,0
krx:0043Y0,krx:0043Y0,TIGER 차이나AI소프트웨어,0,0,0,0,0,1,0
krx:0047A0,krx:0047A0,TIGER 차이나테크TOP10,0,1,0,0,0,1,0
